Date;Filière;Valeur (GW)
17/04/2019;Enveloppe basse 2014 - 2019;50,24423119
18/04/2019;Enveloppe basse 2014 - 2019;49,8052835
19/04/2019;Enveloppe basse 2014 - 2019;48,6416056
20/04/2019;Enveloppe basse 2014 - 2019;47,49178952
21/04/2019;Enveloppe basse 2014 - 2019;47,41225831
22/04/2019;Enveloppe basse 2014 - 2019;41,95235819
23/04/2019;Enveloppe basse 2014 - 2019;39,20687231
24/04/2019;Enveloppe basse 2014 - 2019;45,73930154
25/04/2019;Enveloppe basse 2014 - 2019;47,04762625
26/04/2019;Enveloppe basse 2014 - 2019;47,90760615
27/04/2019;Enveloppe basse 2014 - 2019;48,74562673
28/04/2019;Enveloppe basse 2014 - 2019;48,68194188
29/04/2019;Enveloppe basse 2014 - 2019;43,28740335
30/04/2019;Enveloppe basse 2014 - 2019;41,20855842
01/05/2019;Enveloppe basse 2014 - 2019;43,03875092
02/05/2019;Enveloppe basse 2014 - 2019;51,56546873
03/05/2019;Enveloppe basse 2014 - 2019;51,79091604
04/05/2019;Enveloppe basse 2014 - 2019;50,14975979
05/05/2019;Enveloppe basse 2014 - 2019;44,58679065
06/05/2019;Enveloppe basse 2014 - 2019;41,38230242
07/05/2019;Enveloppe basse 2014 - 2019;39,78988444
08/05/2019;Enveloppe basse 2014 - 2019;39,1651504
09/05/2019;Enveloppe basse 2014 - 2019;48,481673
10/05/2019;Enveloppe basse 2014 - 2019;44,06126754
11/05/2019;Enveloppe basse 2014 - 2019;49,42158823
12/05/2019;Enveloppe basse 2014 - 2019;44,25058748
13/05/2019;Enveloppe basse 2014 - 2019;41,66444863
14/05/2019;Enveloppe basse 2014 - 2019;39,37864383
15/05/2019;Enveloppe basse 2014 - 2019;46,48650429
16/05/2019;Enveloppe basse 2014 - 2019;47,45732648
17/05/2019;Enveloppe basse 2014 - 2019;47,56187521
18/05/2019;Enveloppe basse 2014 - 2019;41,11349619
19/05/2019;Enveloppe basse 2014 - 2019;45,17452256
20/05/2019;Enveloppe basse 2014 - 2019;42,36267798
21/05/2019;Enveloppe basse 2014 - 2019;39,40813727
22/05/2019;Enveloppe basse 2014 - 2019;46,68062981
23/05/2019;Enveloppe basse 2014 - 2019;46,69335548
24/05/2019;Enveloppe basse 2014 - 2019;47,14864738
25/05/2019;Enveloppe basse 2014 - 2019;47,37329369
26/05/2019;Enveloppe basse 2014 - 2019;43,29896179
27/05/2019;Enveloppe basse 2014 - 2019;41,04231704
28/05/2019;Enveloppe basse 2014 - 2019;38,61136785
29/05/2019;Enveloppe basse 2014 - 2019;39,88585952
30/05/2019;Enveloppe basse 2014 - 2019;46,88472927
31/05/2019;Enveloppe basse 2014 - 2019;47,4359375
01/06/2019;Enveloppe basse 2014 - 2019;47,41720635
02/06/2019;Enveloppe basse 2014 - 2019;43,38171165
03/06/2019;Enveloppe basse 2014 - 2019;40,86590685
04/06/2019;Enveloppe basse 2014 - 2019;38,15673719
05/06/2019;Enveloppe basse 2014 - 2019;45,53895931
06/06/2019;Enveloppe basse 2014 - 2019;46,3993214
07/06/2019;Enveloppe basse 2014 - 2019;46,82680285
08/06/2019;Enveloppe basse 2014 - 2019;46,82223933
09/06/2019;Enveloppe basse 2014 - 2019;46,15337771
10/06/2019;Enveloppe basse 2014 - 2019;40,92991854
11/06/2019;Enveloppe basse 2014 - 2019;38,53277573
